rank,compound_name,chembl_id,display_target,primary_target,mechanism_category,mechanistic_rationale,supporting_evidence,confidence_tier,composite_score,pchembl_value,confidence_score,max_phase,full_mwt,alogp,num_ro5_violations,tier1_hit,tier2_hit,tier3_hit,lsd_bonus,bio_bonus,clinical_bonus
147,SAR405,CHEMBL3622372,True,Phosphatidylinositol 3-kinase catalytic subunit type 3,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.0,9.0,,443.86,2.86,0.0,False,True,False,0.0,2.0,0.0
148,STA-5326,CHEMBL4297643,True,1-phosphatidylinositol 3-phosphate 5-kinase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.1 (True=0.075 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,10.12,9.0,2.0,418.5,3.08,0.0,False,True,False,0.0,2.0,0.0
149,TEPP-46,CHEMBL1085588,True,Pyruvate kinase PKM,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.0 (True=90.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.05,9.0,,372.48,2.32,0.0,False,True,False,0.0,2.0,0.0
150,TG-100713,CHEMBL244559,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.4 (True=39.9 True vs True, True); assay confidence=8/9; MOA: True",Medium,4.0,7.4,8.0,,254.25,0.96,0.0,False,True,False,0.0,2.0,0.0
151,UNC3230,CHEMBL4303547,True,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.4 (True=41.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.39,9.0,,344.44,3.5,0.0,False,True,False,0.0,2.0,0.0
152,WAY-600,CHEMBL583194,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.1 (True=9.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.05,9.0,,494.6,4.04,0.0,False,True,False,0.0,2.0,0.0
153,WYE-125132,CHEMBL601661,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.7 (True=0.19 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.72,9.0,,519.61,3.47,1.0,False,True,False,0.0,2.0,0.0
154,WYE-354,CHEMBL561708,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.4 (True=4.3 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.37,9.0,,495.54,2.91,0.0,False,True,False,0.0,2.0,0.0
155,WYE-687,CHEMBL561103,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.3 (True=4.6 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.34,9.0,,528.62,3.74,1.0,False,True,False,0.0,2.0,0.0
156,XL147,CHEMBL3218575,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.6 (True=23.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.64,9.0,,448.53,4.49,0.0,False,True,False,0.0,2.0,0.0
157,YM-201636,CHEMBL2178735,True,1-phosphatidylinositol 3-phosphate 5-kinase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.1 (True=0.82 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.09,9.0,,467.49,3.5,0.0,False,True,False,0.0,2.0,0.0
158,ZSTK-474,CHEMBL586702,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.5 (True=3.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,8.52,9.0,2.0,417.42,1.82,0.0,False,True,False,0.0,2.0,0.0
159,acalisib,CHEMBL4303323,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.9 (True=12.7 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,7.9,9.0,2.0,401.41,3.36,0.0,False,True,False,0.0,2.0,0.0
160,astaxanthin,CHEMBL1255871,True,,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),clinical stage: Phase III; MOA: True,Medium,4.0,,,3.0,596.85,8.91,2.0,False,True,True,0.0,0.0,1.0
161,fosfructose,CHEMBL1235112,True,Pyruvate kinase PKM,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.6 (True=23.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,7.64,9.0,,340.11,-3.14,1.0,False,True,False,0.0,2.0,0.0
162,genz-123346,CHEMBL1087641,True,Ceramide glucosyltransferase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=8.1 (True=9.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,8.05,9.0,,418.58,3.82,0.0,False,True,False,0.0,2.0,0.0
163,oseltamivir-carboxylate,CHEMBL674,True,Neuraminidase,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=10.0 (True=0.1 True vs True, True); assay confidence=8/9; MOA: True",Medium,4.0,10.0,8.0,-1.0,284.36,0.81,0.0,False,True,False,0.0,2.0,0.0
164,pilaralisib,CHEMBL3360203,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=7.6 (True=23.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,4.0,7.64,9.0,2.0,541.03,4.51,1.0,False,True,False,0.0,2.0,0.0
165,torin-1,CHEMBL1256459,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.5 (True=0.29 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.54,9.0,,607.64,6.83,2.0,False,True,False,0.0,2.0,0.0
166,torin-2,CHEMBL1765602,True,Serine/threonine-protein kinase mTOR,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.6 (True=0.25 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.6,9.0,,432.41,5.2,1.0,False,True,False,0.0,2.0,0.0
167,wortmannin,CHEMBL428496,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,4.0,9.0,9.0,,428.44,2.54,0.0,False,True,False,0.0,2.0,0.0
168,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=1092.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.96,9.0,,254.74,2.6,0.0,True,False,False,0.0,0.5,0.0
169,"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",CHEMBL1192114,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.7 (True=1925.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.72,9.0,,214.27,2.12,0.0,True,False,False,0.0,0.5,0.0
170,A-769662,CHEMBL512504,True,5'-AMP-activated protein kinase catalytic subunit alpha-1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.9 (True=116.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.94,9.0,,360.39,4.21,0.0,False,True,False,0.0,1.5,0.0
171,AF38469,CHEMBL3098745,True,Sortilin,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.6 (True=260.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.58,9.0,,324.26,3.36,0.0,False,True,False,0.0,1.5,0.0
172,AS-1949490,CHEMBL2337806,True,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.4 (True=440.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.36,9.0,,371.89,5.47,1.0,False,True,False,0.0,1.5,0.0
173,CGS-9896,CHEMBL507327,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=1061.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.97,9.0,,295.73,3.47,0.0,True,False,False,0.0,0.5,0.0
174,CPSI-1306-(+/-),CHEMBL4303715,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.6 (True=2422.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.62,9.0,,310.3,1.71,0.0,True,False,False,0.0,0.5,0.0
175,KS-176,CHEMBL4303487,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.7 (True=2230.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.65,9.0,,405.41,3.63,0.0,True,False,False,0.0,0.5,0.0
176,LY294002,CHEMBL98350,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.7 (True=200.0 True vs True, True); assay confidence=8/9; MOA: True",Medium,3.5,6.7,8.0,-1.0,307.35,3.3,0.0,False,True,False,0.0,1.5,0.0
177,PI4KIII-beta-inhibitor-1,CHEMBL3786230,True,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.1 (True=720.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.14,9.0,,475.59,4.62,0.0,False,True,False,0.0,1.5,0.0
178,Ro-28-1675,CHEMBL1096435,True,Hexokinase-4,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.6 (True=235.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.63,9.0,,378.52,3.85,0.0,False,True,False,0.0,1.5,0.0
179,beta-amyloid-synthesis-inhibitor,CHEMBL4303349,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.5 (True=2828.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.55,9.0,,294.31,3.38,0.0,True,False,False,0.0,0.5,0.0
180,brilliant-green,CHEMBL1589793,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.9 (True=1282.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.89,9.0,,385.58,5.95,1.0,True,False,False,0.0,0.5,0.0
181,dichlorophen,CHEMBL33845,True,HSP90,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.3 (True=5414.0 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Medium,3.5,5.27,8.0,2.0,269.13,4.0,0.0,True,False,False,0.0,0.5,0.0
182,didox,CHEMBL367788,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.2 (True=6159.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.21,9.0,,169.14,0.22,0.0,True,False,False,0.0,0.5,0.0
183,eupatilin,CHEMBL312750,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.9 (True=1316.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.88,9.0,-1.0,344.32,2.9,0.0,True,False,False,0.0,0.5,0.0
184,merbarone,CHEMBL1765797,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.9 (True=1166.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.93,9.0,,263.28,-0.23,0.0,True,False,False,0.0,0.5,0.0
185,phenylbenzimidazole-sulfonic-acid,CHEMBL1987518,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=5.6 (True=2325.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,3.5,5.63,9.0,2.0,274.3,2.48,0.0,True,False,False,0.0,0.5,0.0
186,pifithrin-cyclic,CHEMBL193504,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.0 (True=1133.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,5.95,9.0,,268.38,4.25,0.0,True,False,False,0.0,0.5,0.0
187,tangeritin,CHEMBL73930,True,Pyruvate kinase PKM,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.0 (True=950.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.02,9.0,,372.37,3.5,0.0,False,True,False,0.0,1.5,0.0
188,xanthone,CHEMBL186784,True,Phosphoglycerate mutase 1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=6.3 (True=500.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,3.5,6.3,9.0,,196.21,2.95,0.0,False,True,False,0.0,1.5,0.0
189,acadesine,CHEMBL1551724,True,,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),clinical stage: Phase III; MOA: True,Medium,3.0,,,3.0,258.23,-2.82,0.0,False,True,False,0.0,0.0,1.0
190,ABC-294640,CHEMBL2158685,True,Sphingosine kinase 2,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.0 (True=9800.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,2.5,5.01,9.0,2.0,380.92,4.89,0.0,False,True,False,0.0,0.5,0.0
191,K145,CHEMBL3287036,True,Sphingosine kinase 2,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.4 (True=4300.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,2.5,5.37,9.0,,348.47,3.34,0.0,False,True,False,0.0,0.5,0.0
192,NHI-2,CHEMBL3335796,True,L-lactate dehydrogenase A chain,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.3 (True=5100.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,2.5,5.29,9.0,,335.28,4.35,0.0,False,True,False,0.0,0.5,0.0
193,alda-1,CHEMBL465952,True,"Aldehyde dehydrogenase, mitochondrial",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.4 (True=4300.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,2.5,5.37,9.0,,324.16,3.65,0.0,False,True,False,0.0,0.5,0.0
194,anethole-trithione,CHEMBL178862,True,"Triosephosphate isomerase, glycosomal",Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.9 (True=1200.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,2.5,5.92,9.0,-1.0,240.37,4.21,0.0,False,True,False,0.0,0.5,0.0
195,costunolide,CHEMBL86416,True,Pyruvate kinase PKM,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.8 (True=1513.0 True vs True, True); assay confidence=9/9; MOA: True",Medium,2.5,5.82,9.0,,232.32,3.55,0.0,False,True,False,0.0,0.5,0.0
196,palomid-529,CHEMBL2141712,True,,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),clinical stage: Phase I; MOA: True,Medium,2.5,,,1.0,406.43,4.6,0.0,False,True,False,0.0,0.0,0.5
197,safingol,CHEMBL1442934,True,Sphingosine kinase 1,Lysosomal/autophagy/SRT,Lysosomal/autophagy/substrate-reduction modulator addressing downstream storage pathology (adjunctive),"pChEMBL=5.5 (True=3000.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Medium,2.5,5.52,9.0,2.0,301.52,4.15,0.0,False,True,False,0.0,0.5,0.0
